Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
0,,unknown,,calibration,2023-05-08 10:26:27.931569,140544.0,216099.0,496445.0,504654.0,269570.0,282865.0,101862.0,71191.0,-0.7712281541551586,-0.2850754366065819,1.518788897373608,1.571609063588369,0.0589795162097761,0.144525150248666,-1.020124447189558,-1.217474589469121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,measurement1.csv
1,reference,reference,white,regular,2023-05-08 10:26:43.295772,140251.0,220252.0,495954.0,507297.0,269930.0,285027.0,103472.0,70612.0,-0.7796077392171316,-0.2656379497979511,1.5056211454939437,1.5784947260914584,0.0535204507066181,0.1505117622009915,-1.015895971677326,-1.227006423800603,-0.7913715819446746,1.6737217536785265,-0.6645777887815782,0.0559082709923256,-0.3955948273842837,0.3343196318074538,1.2788557922167496,-1.491261250584583,measurement1.csv
2,reference,reference,white,regular,2023-05-08 10:26:45.356255,141223.0,219017.0,496028.0,507416.0,264415.0,280915.0,101693.0,71076.0,-0.7643260098569721,-0.2646618075978244,1.5145561312150495,1.5877002803181577,0.0269256599981441,0.1329037474763036,-1.0182238157970716,-1.2148741857557872,0.6237156756731993,1.5858358663332577,-0.0054902963994161,0.6949251251853036,-2.033953675095732,-0.6771421872692264,-0.0963713836900769,-0.0915191247373094,measurement1.csv
3,reference,reference,white,regular,2023-05-08 10:26:46.952763,143876.0,219686.0,497213.0,508289.0,267264.0,283007.0,103781.0,71954.0,-0.7590790707140419,-0.2714349596210711,1.513743871922246,1.5849896993126398,0.0346081945483175,0.1358742708039123,-1.0169881939731458,-1.2217138122788571,1.477081309437223,0.7717636051477121,-0.7216035566197502,-0.1604496247253526,-1.723807273682517,-0.8252822107995766,0.9940382757798958,0.1882594754624315,measurement1.csv
4,A01A,PET,white,regular,2023-05-08 10:27:21.250425,138578.0,214154.0,460216.0,476942.0,219187.0,249416.0,77141.0,50291.0,-0.6505026820030362,-0.144522211682669,1.5028601119117284,1.614840493866032,-0.1108263332672672,0.0915564818766194,-1.061822706284189,-1.241583154417219,1.1036851990661802,1.153710088949206,0.5120877807408688,0.6932525368386426,-0.6304670122363399,0.0580335427180677,-1.1899851685742793,-1.7003169675023406,measurement1.csv
5,A01A,PET,white,regular,2023-05-08 10:27:27.431445,141065.0,215860.0,459713.0,489898.0,227616.0,254343.0,78415.0,51148.0,-0.6521285307502194,-0.1579057983931938,1.4534010530468455,1.6528544012144617,-0.0802257069219832,0.0963782233902866,-1.0661007773197448,-1.246272864266453,1.1328581932557165,1.0843096455032066,0.3491303591798541,0.8005243844224187,-0.4743994500661499,0.07837118024748,-1.226392035615118,-1.7444022769274057,measurement1.csv
6,A01A,PET,white,regular,2023-05-08 10:27:34.553925,143016.0,214832.0,456548.0,487331.0,223680.0,249259.0,76992.0,50107.0,-0.6295368756858217,-0.1521492057145508,1.454626972780154,1.659253026093143,-0.0933332579604875,0.076699871289194,-1.068422966837977,-1.247137563963654,1.2663763260091592,1.044955982434713,0.3415430840893177,0.7762188329331166,-0.5069508535337555,-0.0213913749886724,-1.2048634650864682,-1.6958885318574082,measurement1.csv
7,A02A,PET,white,regular,2023-05-08 10:28:07.034406,145751.0,219492.0,472976.0,497326.0,235280.0,259696.0,82250.0,55451.0,-0.6526408357557367,-0.1727051789911947,1.4770691666144131,1.6355486182385652,-0.0699506170921347,0.088958388692477,-1.065930513685317,-1.2403490280210725,1.307287140013014,1.0667499195792276,0.3571722440040999,0.726221884204769,-0.5434267619153615,-0.0330709262465188,-1.279563892093142,-1.6013696075460804,measurement1.csv
8,A02A,PET,white,regular,2023-05-08 10:28:14.418487,144934.0,214440.0,474314.0,502205.0,238254.0,265554.0,85641.0,56585.0,-0.6653682019583916,-0.2155239454792411,1.4663859084652064,1.6468970320726646,-0.0613992494271809,0.115286910068126,-1.0491137131289132,-1.23716474061227,1.326787935488566,0.8215739860855915,0.3424678471689882,0.8582413182108867,-0.5870177557616907,0.1266885148997998,-1.1462660581649624,-1.7424757879271808,measurement1.csv
9,A02A,PET,white,regular,2023-05-08 10:28:24.993786,146115.0,219413.0,483044.0,490605.0,235075.0,262007.0,85627.0,54832.0,-0.6563583793536663,-0.1799050433477337,1.5337552123833909,1.5829033975117826,-0.078098552740556,0.0969654496239255,-1.0495438603807998,-1.2497182236963431,1.3135623736150437,1.0322462719491323,0.5422723639571793,0.5324918794583074,-0.6264692454299092,0.0011944962595286,-0.9901545185498032,-1.8051436212594711,measurement1.csv
