Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
1,2mm pmma,PMMA,transparent,25904.0,39629.0,70856.0,83884.0,36950.0,44585.0,14090.0,8149.0,measurement1.csv
2,2mm pmma,PMMA,transparent,25655.0,39515.0,71367.0,84120.0,37317.0,44801.0,13573.0,8434.0,measurement1.csv
3,2mm pmma,PMMA,transparent,25611.0,39837.0,70648.0,83443.0,36916.0,44251.0,13893.0,8464.0,measurement1.csv
4,2mm pmma,PMMA,transparent,25852.0,39729.0,71200.0,83981.0,36868.0,44565.0,13672.0,8452.0,measurement1.csv
5,2mm pmma,PMMA,transparent,25862.0,40209.0,71364.0,84547.0,37312.0,44592.0,13815.0,8350.0,measurement1.csv
6,2mm pmma,PMMA,transparent,26210.0,39866.0,71577.0,84234.0,37304.0,45000.0,13702.0,8198.0,measurement1.csv
7,3mm pmma,PMMA,transparent,24252.0,37666.0,60658.0,77680.0,31335.0,38960.0,11548.0,6884.0,measurement1.csv
8,3mm pmma,PMMA,transparent,24180.0,37560.0,59738.0,76006.0,30806.0,38648.0,11553.0,7155.0,measurement1.csv
9,3mm pmma,PMMA,transparent,24008.0,37779.0,60773.0,77030.0,31338.0,39023.0,11600.0,7155.0,measurement1.csv
10,3mm pmma,PMMA,transparent,24279.0,37987.0,60705.0,77139.0,30764.0,38851.0,11599.0,7070.0,measurement1.csv
11,3mm pmma,PMMA,transparent,24009.0,37528.0,60370.0,76006.0,30955.0,39106.0,11817.0,7048.0,measurement1.csv
12,4mm pmma,PMMA,transparent,22977.0,36106.0,52788.0,71216.0,27235.0,35036.0,10490.0,6381.0,measurement1.csv
13,4mm pmma,PMMA,transparent,22950.0,35829.0,52913.0,70630.0,26818.0,35141.0,10374.0,6501.0,measurement1.csv
14,4mm pmma,PMMA,transparent,22841.0,35441.0,52939.0,70933.0,26881.0,35232.0,10413.0,6516.0,measurement1.csv
15,4mm pmma,PMMA,transparent,23137.0,36170.0,52890.0,70774.0,26952.0,35010.0,10224.0,6403.0,measurement1.csv
16,4mm pmma,PMMA,transparent,22630.0,35632.0,52508.0,71388.0,26840.0,35130.0,10014.0,6505.0,measurement1.csv
17,4mm pmma,PMMA,transparent,22772.0,35749.0,52676.0,70250.0,26686.0,35012.0,10541.0,6500.0,measurement1.csv
18,5mm pmma,PMMA,transparent,21014.0,33766.0,45141.0,63925.0,22893.0,30848.0,9173.0,5947.0,measurement1.csv
19,5mm pmma,PMMA,transparent,21082.0,33274.0,45461.0,63398.0,22825.0,31065.0,9159.0,5835.0,measurement1.csv
20,5mm pmma,PMMA,transparent,21241.0,33444.0,45480.0,64047.0,22601.0,30886.0,8928.0,5808.0,measurement1.csv
21,5mm pmma,PMMA,transparent,21035.0,33221.0,45277.0,64017.0,22560.0,31121.0,9191.0,5711.0,measurement1.csv
22,5mm pmma,PMMA,transparent,21120.0,33445.0,45261.0,64026.0,22717.0,31460.0,9095.0,5773.0,measurement1.csv
23,5mm pmma,PMMA,transparent,20939.0,32994.0,44709.0,63780.0,22940.0,30804.0,8962.0,5623.0,measurement1.csv
24,5mm pmma,PMMA,transparent,21203.0,33133.0,44921.0,63646.0,22878.0,30836.0,9397.0,5610.0,measurement1.csv
25,6mm pmma,PMMA,transparent,19692.0,31015.0,39689.0,58520.0,19958.0,27518.0,8304.0,5549.0,measurement1.csv
