Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
1,2mm pmma,PMMA,transparent,regular,25904.0,39629.0,70856.0,83884.0,36950.0,44585.0,14090.0,8149.0,-0.5966896096,-0.0358325353,1.240224576,1.77259951,-0.1453069325,0.16668897,-1.079455764,-1.322228215,1.14876338,1.251041694,-0.196672382,0.9026006814,-0.6254336805,0.08408608574,-0.7457255589,-1.818660219,measurement1.csv
2,2mm pmma,PMMA,transparent,regular,25655.0,39515.0,71367.0,84120.0,37317.0,44801.0,13573.0,8434.0,-0.6063411121,-0.04393540942,1.248542689,1.766028975,-0.1331250007,0.1705578478,-1.096599821,-1.305128169,1.10320773,1.266097373,-0.1544084385,0.9539543757,-0.5826979206,0.1203838291,-1.01462488,-1.691912069,measurement1.csv
3,2mm pmma,PMMA,transparent,regular,25611.0,39837.0,70648.0,83443.0,36916.0,44251.0,13893.0,8464.0,-0.6071095484,-0.02243492615,1.243866901,1.769728829,-0.1424851561,0.1589761369,-1.088707835,-1.311834401,1.113753131,1.364715875,-0.22002948,0.9094166119,-0.6544778073,0.03910134519,-0.8674571102,-1.685022565,measurement1.csv
4,2mm pmma,PMMA,transparent,regular,25852.0,39729.0,71200.0,83981.0,36868.0,44565.0,13672.0,8452.0,-0.5980891175,-0.03301876637,1.248477884,1.768919201,-0.1495184619,0.1639027742,-1.094057762,-1.306615752,1.150866608,1.293675148,-0.1713288375,0.9259519991,-0.6578478582,0.07774658998,-0.9583805402,-1.660683109,measurement1.csv
5,2mm pmma,PMMA,transparent,regular,25862.0,40209.0,71364.0,84547.0,37312.0,44592.0,13815.0,8350.0,-0.6031066516,-0.0221644415,1.239371389,1.773180628,-0.1394704694,0.1553130595,-1.090916703,-1.312206811,1.095485863,1.332637221,-0.1831686784,0.9264659503,-0.5967258986,0.04851510679,-0.9035305726,-1.719678991,measurement1.csv
6,2mm pmma,PMMA,transparent,regular,26210.0,39866.0,71577.0,84234.0,37304.0,45000.0,13702.0,8198.0,-0.5894991174,-0.03627305132,1.248389498,1.761144501,-0.1400637061,0.1717133739,-1.096217895,-1.319193603,1.179489387,1.23259741,-0.1512527075,0.8787422963,-0.5748940138,0.1176652186,-0.9212925749,-1.761055015,measurement1.csv
7,3mm pmma,PMMA,transparent,regular,24252.0,37666.0,60658.0,77680.0,31335.0,38960.0,11548.0,6884.0,-0.5334164037,0.06934014451,1.102483022,1.867364635,-0.2151426128,0.1274858858,-1.104269184,-1.313845487,1.194120713,1.3745913,-0.3299982038,0.9318492857,-0.6823157478,-0.02066316233,-0.9200525691,-1.547531615,measurement1.csv
8,3mm pmma,PMMA,transparent,regular,24180.0,37560.0,59738.0,76006.0,30806.0,38648.0,11553.0,7155.0,-0.5310006445,0.08542680043,1.107185236,1.856665182,-0.2257354539,0.1355518423,-1.112736769,-1.315356194,1.250123292,1.438313982,-0.393155847,0.857807797,-0.7622136796,-0.0370616502,-0.926431675,-1.427382219,measurement1.csv
9,3mm pmma,PMMA,transparent,regular,24008.0,37779.0,60773.0,77030.0,31338.0,39023.0,11600.0,7155.0,-0.5469635333,0.07655293508,1.117663797,1.853740133,-0.2150794499,0.1328781465,-1.108766768,-1.31002526,1.167711506,1.445400242,-0.3464404839,0.9074972033,-0.7238815388,-0.0242059783,-0.9521084936,-1.473972456,measurement1.csv
10,3mm pmma,PMMA,transparent,regular,24279.0,37987.0,60705.0,77139.0,30764.0,38851.0,11599.0,7070.0,-0.5322716516,0.08762850347,1.114976893,1.858151619,-0.2390084108,0.1267001211,-1.105683817,-1.310493257,1.204684072,1.436551829,-0.3344777356,0.8894057392,-0.7781210839,-0.04153767074,-0.9134335083,-1.463071642,measurement1.csv
11,3mm pmma,PMMA,transparent,regular,24009.0,37528.0,60370.0,76006.0,30955.0,39106.0,11817.0,7048.0,-0.5436360211,0.07678377644,1.125058724,1.842632801,-0.2248671836,0.1492020352,-1.10315656,-1.322017572,1.202426846,1.4354867,-0.3606049339,0.8529792168,-0.7661666047,0.01121699258,-0.8502633872,-1.52507483,measurement1.csv
12,4mm pmma,PMMA,transparent,regular,22977.0,36106.0,52788.0,71216.0,27235.0,35036.0,10490.0,6381.0,-0.4889826482,0.1659958057,0.9982260263,1.917560549,-0.2765599003,0.1126157352,-1.11193306,-1.316922508,1.265466973,1.504058259,-0.5110306409,0.8383298953,-0.8140344351,-0.100411507,-0.8479505225,-1.334428021,measurement1.csv
13,4mm pmma,PMMA,transparent,regular,22950.0,35829.0,52913.0,70630.0,26818.0,35141.0,10374.0,6501.0,-0.4864402137,0.1597884224,1.017011034,1.905995641,-0.2923558621,0.1252666969,-1.117465241,-1.311800477,1.292275101,1.493201884,-0.4940466459,0.8193793357,-0.8723980828,-0.07323899554,-0.8896095369,-1.27556306,measurement1.csv
