fold,accuracy,f1_macro,precision,recall
1,0.3617021276595745,0.28922466422466425,0.2722222222222222,0.34953703703703703
2,0.3191489361702128,0.2716931216931217,0.24725703146755776,0.32175925925925924
3,0.3191489361702128,0.24343891402714932,0.3412698412698412,0.3578042328042328
4,0.3829787234042553,0.2952898550724638,0.3707143676183924,0.4080687830687831
5,0.2553191489361702,0.1670843776106934,0.13924963924963923,0.2655423280423281
6,0.5106382978723404,0.4430555555555556,0.44583333333333336,0.513888888888889
7,0.19148936170212766,0.09612625538020086,0.07135076252723312,0.20833333333333334
8,0.3191489361702128,0.21441441441441442,0.20595238095238091,0.28750000000000003
9,0.30434782608695654,0.2477073253543842,0.22791835357624832,0.3078703703703704
10,0.41304347826086957,0.2849364791288566,0.22374847374847376,0.4259259259259259
