fold,accuracy,f1_macro,precision,recall
1,0.40425531914893614,0.2930415263748597,0.2632275132275132,0.3634259259259259
2,0.425531914893617,0.3194583194583195,0.318815987933635,0.3819444444444444
3,0.40425531914893614,0.30280830280830284,0.2718577174459528,0.3703703703703704
4,0.425531914893617,0.3185016835016835,0.2786044973544974,0.3888888888888889
5,0.5106382978723404,0.3988888888888889,0.35325948561242676,0.4837962962962963
6,0.44680851063829785,0.3298076923076923,0.29073565323565326,0.41898148148148145
7,0.44680851063829785,0.3568267143518024,0.3282407407407407,0.40972222222222215
8,0.3404255319148936,0.2567243757175107,0.22395382395382393,0.30277777777777776
9,0.41304347826086957,0.3036878269076411,0.2619330560507031,0.3726851851851852
10,0.45652173913043476,0.32081807081807084,0.27928607340372047,0.40740740740740744
