fold,accuracy,f1_macro,precision,recall
1,0.9148936170212766,0.9125,0.9337121212121212,0.9050925925925926
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9814241486068113,0.9833333333333334,0.9814814814814815
4,0.9574468085106383,0.9555555555555554,0.9696969696969697,0.9523809523809524
5,0.9148936170212766,0.9122436558969067,0.9185185185185185,0.9107142857142857
6,0.9148936170212766,0.9168091168091168,0.9243386243386243,0.9160052910052912
7,0.9148936170212766,0.9153021442495127,0.9185185185185185,0.914351851851852
8,0.8936170212765957,0.8773755656108598,0.9107022607022608,0.8791666666666668
9,0.9782608695652174,0.9790849673202615,0.9814814814814815,0.9791666666666666
10,0.9130434782608695,0.9059107559107559,0.9220779220779222,0.9027777777777778
