fold,accuracy,f1_macro,precision,recall
1,0.8297872340425532,0.820194202082747,0.844023569023569,0.8125
2,0.9787234042553191,0.9801169590643276,0.9833333333333334,0.9791666666666666
3,0.8936170212765957,0.8943884818884819,0.903505291005291,0.9027777777777778
4,0.9148936170212766,0.9184012066365007,0.9267676767676768,0.9153439153439153
5,0.8085106382978723,0.7950393832746774,0.8041666666666667,0.8058862433862434
6,0.851063829787234,0.8493170772582538,0.8564814814814815,0.8475529100529101
7,0.8723404255319149,0.8677287581699346,0.8817340067340068,0.8667328042328042
8,0.7659574468085106,0.7473855092276146,0.7517676767676768,0.7467592592592593
9,0.9130434782608695,0.8982456140350878,0.937878787878788,0.8958333333333334
10,0.8695652173913043,0.852678040913335,0.8622895622895622,0.8541666666666666
