fold,accuracy,f1_macro,precision,recall
1,0.5319148936170213,0.47260869565217384,0.5208916900093371,0.5370370370370371
2,0.48936170212765956,0.367697714471908,0.38564213564213556,0.4305555555555555
3,0.6595744680851063,0.6496773923244511,0.7431818181818182,0.6792328042328043
4,0.6170212765957447,0.6006081379920389,0.6735449735449736,0.5968915343915344
5,0.44680851063829785,0.4118670089600322,0.6691176470588235,0.42857142857142855
6,0.5106382978723404,0.44828088578088576,0.4540064102564103,0.48908730158730157
7,0.5957446808510638,0.5832451499118166,0.7900359874044084,0.5949074074074074
8,0.5531914893617021,0.4518006148440931,0.4775641025641026,0.5476851851851853
9,0.6521739130434783,0.6295812890240136,0.6458333333333334,0.6342592592592592
10,0.41304347826086957,0.36427015250544664,0.39384920634920634,0.4398148148148148
