fold,accuracy,f1_macro,precision,recall
1,0.851063829787234,0.8441176470588235,0.8606902356902356,0.8402777777777777
2,1.0,1.0,1.0,1.0
3,0.9361702127659575,0.9355455002513827,0.9368386243386243,0.9421296296296298
4,0.9361702127659575,0.937037037037037,0.9511784511784512,0.9338624338624338
5,0.8936170212765957,0.8908312447786133,0.8940476190476191,0.8898809523809524
6,0.8723404255319149,0.8714932126696833,0.878968253968254,0.8713624338624338
7,0.9148936170212766,0.9141972578505085,0.9208333333333334,0.9212962962962963
8,0.8723404255319149,0.8622929873703867,0.8761784511784513,0.8606481481481483
9,0.9565217391304348,0.9574925246751874,0.9595238095238096,0.9606481481481483
10,0.8695652173913043,0.8523391812865498,0.8736652236652237,0.8472222222222222
