fold,accuracy,f1_macro,precision,recall
1,0.8723404255319149,0.8715847848974784,0.8841750841750842,0.8703703703703702
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9790849673202615,0.9814814814814815,0.9791666666666666
4,0.9574468085106383,0.9555555555555554,0.9696969696969697,0.9523809523809524
5,0.851063829787234,0.8445956992783619,0.8487433862433864,0.8452380952380952
6,0.8936170212765957,0.8919102683808567,0.9005291005291006,0.8921957671957671
7,0.9148936170212766,0.9153021442495127,0.9185185185185185,0.914351851851852
8,0.8723404255319149,0.8622929873703867,0.8761784511784513,0.8606481481481483
9,0.9347826086956522,0.9349901904081471,0.9410052910052911,0.9398148148148149
10,0.8695652173913043,0.8523391812865498,0.8736652236652237,0.8472222222222222
