fold,accuracy,f1_macro,precision,recall
1,0.2978723404255319,0.22475138380711135,0.1940268065268065,0.2708333333333333
2,0.3404255319148936,0.22941703563145688,0.18973063973063972,0.3055555555555555
3,0.3829787234042553,0.24884423897581795,0.20698051948051946,0.3541666666666667
4,0.3404255319148936,0.23076513213981245,0.21015873015873018,0.3055555555555556
5,0.44680851063829785,0.29500891265597146,0.23842592592592593,0.4166666666666667
6,0.3404255319148936,0.24455518641565152,0.24159663865546221,0.3148148148148148
7,0.3404255319148936,0.24865424430641825,0.23290598290598294,0.3194444444444444
8,0.2978723404255319,0.19215686274509802,0.15777777777777777,0.2625
9,0.2826086956521739,0.19289387564282376,0.16486291486291485,0.25925925925925924
10,0.34782608695652173,0.2567221220471994,0.25717171717171716,0.3148148148148148
