fold,accuracy,f1_macro,precision,recall
1,0.7872340425531915,0.7776850027624022,0.826936026936027,0.7685185185185185
2,0.9361702127659575,0.9297147468974094,0.9317460317460317,0.9328703703703702
3,0.8297872340425532,0.8333318370083077,0.8396825396825395,0.8419312169312169
4,0.851063829787234,0.8482681534152122,0.8564814814814815,0.8551587301587302
5,0.8297872340425532,0.822938659780765,0.8742424242424244,0.8184523809523809
6,0.9148936170212766,0.9174463307590243,0.936026936026936,0.9160052910052912
7,0.851063829787234,0.8490375637434461,0.8625541125541126,0.8488756613756614
8,0.7872340425531915,0.7797619047619048,0.7898809523809525,0.7958333333333334
9,0.8478260869565217,0.8457135457135457,0.8740740740740742,0.8449074074074074
10,0.717391304347826,0.7090377458798511,0.7210678210678211,0.7037037037037037
