fold,accuracy,f1_macro,precision,recall
1,0.8085106382978723,0.8051656920077973,0.8455507455507455,0.8148148148148149
2,0.9148936170212766,0.9039682539682539,0.9305555555555555,0.8958333333333334
3,0.8936170212765957,0.89503367003367,0.9064814814814816,0.8958333333333334
4,0.8723404255319149,0.8712131006248653,0.8707010582010581,0.8766534391534392
5,0.8085106382978723,0.8040413533834586,0.8328523328523328,0.8005952380952381
6,0.8723404255319149,0.873909179056238,0.8921296296296296,0.8743386243386242
7,0.8085106382978723,0.7968304843304844,0.8061507936507936,0.8009259259259259
8,0.7659574468085106,0.7408262188447948,0.7428571428571429,0.7425925925925926
9,0.9130434782608695,0.9023730898730898,0.903505291005291,0.9050925925925926
10,0.782608695652174,0.770877149166623,0.7916666666666666,0.7731481481481483
