fold,accuracy,f1_macro,precision,recall
1,0.6170212765957447,0.5694444444444444,0.5972222222222222,0.5787037037037037
2,0.6170212765957447,0.5985519353940406,0.6227513227513227,0.6134259259259259
3,0.6382978723404256,0.6293560856641353,0.6966991341991342,0.6378968253968254
4,0.574468085106383,0.5693404634581106,0.5949074074074074,0.5667989417989417
5,0.6382978723404256,0.6420009299266266,0.6582010582010581,0.6349206349206348
6,0.6595744680851063,0.6345560871876661,0.6643217893217893,0.6468253968253969
7,0.6170212765957447,0.6152926021347074,0.6444444444444444,0.6160714285714285
8,0.574468085106383,0.5527109766240201,0.5740028490028489,0.549537037037037
9,0.6521739130434783,0.6554843304843304,0.7399237472766885,0.6342592592592592
10,0.6086956521739131,0.5593186769657358,0.563474025974026,0.5810185185185185
