fold,accuracy,f1_macro,precision,recall
1,0.48936170212765956,0.4836508520719047,0.5435897435897435,0.4861111111111111
2,0.44680851063829785,0.4242857142857142,0.44837962962962963,0.46064814814814814
3,0.6382978723404256,0.607937736498108,0.7027356902356902,0.6491402116402116
4,0.6170212765957447,0.6020944927678674,0.6386752136752137,0.6068121693121693
5,0.7021276595744681,0.6787037037037037,0.7088383838383838,0.6891534391534391
6,0.5319148936170213,0.5333847439110596,0.55988455988456,0.5317460317460317
7,0.5957446808510638,0.5652906776745786,0.6609848484848485,0.6121031746031746
8,0.5531914893617021,0.46316425120772947,0.547008547008547,0.5152777777777778
9,0.5434782608695652,0.5179622310057092,0.572089947089947,0.5277777777777777
10,0.5434782608695652,0.5431205871423262,0.6038059163059163,0.5324074074074073
