fold,accuracy,f1_macro,precision,recall
1,0.9148936170212766,0.9191235106482786,0.9291666666666667,0.9143518518518517
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9790849673202615,0.9814814814814815,0.9791666666666666
4,0.9574468085106383,0.9555555555555554,0.9696969696969697,0.9523809523809524
5,0.8936170212765957,0.8897009208541716,0.8976851851851851,0.8869047619047619
6,0.9148936170212766,0.9168091168091168,0.9243386243386243,0.9160052910052912
7,0.9148936170212766,0.9153021442495127,0.9185185185185185,0.914351851851852
8,0.8936170212765957,0.8830532212885155,0.920875420875421,0.8791666666666668
9,0.9782608695652174,0.9790849673202615,0.9814814814814815,0.9791666666666666
10,0.8913043478260869,0.8792929292929293,0.8903318903318903,0.875
