fold,accuracy,f1_macro,precision,recall
1,0.8723404255319149,0.877450980392157,0.8796296296296298,0.8773148148148149
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9790849673202615,0.9814814814814815,0.9791666666666666
4,0.9574468085106383,0.9536463708290334,0.9648148148148148,0.9523809523809524
5,0.851063829787234,0.8445956992783619,0.8487433862433864,0.8452380952380952
6,0.8723404255319149,0.8714932126696833,0.878968253968254,0.8713624338624338
7,0.8936170212765957,0.8919199708673392,0.8986772486772486,0.8935185185185186
8,0.8723404255319149,0.8622929873703867,0.8761784511784513,0.8606481481481483
9,0.9130434782608695,0.9111240783067408,0.9261904761904761,0.9120370370370371
10,0.8695652173913043,0.8523391812865498,0.8736652236652237,0.8472222222222222
