fold,accuracy,f1_macro,precision,recall
1,0.851063829787234,0.8431789515380846,0.8527777777777777,0.8425925925925926
2,0.9787234042553191,0.9801169590643276,0.9833333333333334,0.9791666666666666
3,0.8723404255319149,0.8739714261773085,0.8759920634920634,0.8819444444444445
4,0.9148936170212766,0.9167041535462589,0.9203703703703704,0.9153439153439153
5,0.851063829787234,0.8405875170581054,0.8449074074074074,0.8452380952380952
6,0.851063829787234,0.8493170772582538,0.8564814814814815,0.8475529100529101
7,0.8297872340425532,0.8203431372549019,0.8331228956228957,0.8204365079365079
8,0.8085106382978723,0.7962926478406356,0.8018518518518518,0.7953703703703704
9,0.8913043478260869,0.8727266885161623,0.9140692640692641,0.875
10,0.8695652173913043,0.852678040913335,0.8622895622895622,0.8541666666666666
