fold,accuracy,f1_macro,precision,recall
1,0.5106382978723404,0.39719095719095715,0.3698843640020111,0.5
2,0.5106382978723404,0.47781426746943984,0.5259259259259259,0.5162037037037037
3,0.40425531914893614,0.36779609279609277,0.3807720057720058,0.4441137566137567
4,0.44680851063829785,0.3378257544924212,0.3826510721247563,0.40343915343915343
5,0.6595744680851063,0.6586873638344226,0.6694444444444444,0.6580687830687831
6,0.46808510638297873,0.42322957151332447,0.5603174603174603,0.45634920634920634
7,0.574468085106383,0.5544922913343966,0.7075369075369076,0.5879629629629629
8,0.425531914893617,0.30470219435736673,0.4572368421052631,0.3666666666666667
9,0.5434782608695652,0.40119384752068404,0.44166666666666665,0.4837962962962963
10,0.41304347826086957,0.3025493025493025,0.2932692307692308,0.3819444444444444
