fold,accuracy,f1_macro,precision,recall
1,0.48936170212765956,0.4222880514547181,0.43686138422980525,0.46990740740740744
2,0.2553191489361702,0.21767516434183098,0.2818082788671024,0.24074074074074073
3,0.3404255319148936,0.3344849050731404,0.379522792022792,0.3323412698412698
4,0.3404255319148936,0.30894008525587474,0.2958689458689459,0.34490740740740744
5,0.40425531914893614,0.4002259436469963,0.5076388888888889,0.398478835978836
6,0.40425531914893614,0.3727513227513228,0.4236111111111111,0.39252645502645506
7,0.40425531914893614,0.4209014104175394,0.6374176548089592,0.41501322751322745
8,0.3829787234042553,0.3996503496503497,0.4992063492063492,0.3902777777777777
9,0.41304347826086957,0.3747659747659747,0.42017543859649126,0.40046296296296297
10,0.5217391304347826,0.5314811005987476,0.5559523809523809,0.523148148148148
