fold,accuracy,f1_macro,precision,recall
1,0.6382978723404256,0.6349745026215615,0.6468253968253969,0.6319444444444445
2,0.6170212765957447,0.5725493025493026,0.6053661616161616,0.5856481481481483
3,0.7021276595744681,0.6926016020443265,0.7542328042328043,0.7208994708994708
4,0.40425531914893614,0.3736555440889806,0.3602693602693603,0.3958333333333333
5,0.6595744680851063,0.6522717049032837,0.6831349206349205,0.6527777777777778
6,0.6382978723404256,0.6401918729705107,0.6509259259259259,0.6378968253968254
7,0.723404255319149,0.696711784947079,0.7064814814814815,0.7123015873015873
8,0.6170212765957447,0.5895859042917867,0.6212301587301586,0.6074074074074075
9,0.6086956521739131,0.5962114138584726,0.6045454545454545,0.5972222222222222
10,0.7391304347826086,0.7389077425842131,0.7473544973544973,0.7476851851851852
