fold,accuracy,f1_macro,precision,recall
1,0.23404255319148937,0.20611577964519143,0.2850308641975308,0.2546296296296296
2,0.14893617021276595,0.12285586277521761,0.14216701173222912,0.13194444444444445
3,0.3829787234042553,0.274965264620437,0.3523148148148148,0.3773148148148148
4,0.40425531914893614,0.30343607010273677,0.29669762641898867,0.3786375661375661
5,0.425531914893617,0.40405527708159283,0.598575036075036,0.4146825396825397
6,0.3617021276595745,0.28200280112044823,0.4635897435897436,0.3386243386243386
7,0.2978723404255319,0.24656824656824652,0.41798941798941797,0.3068783068783068
8,0.40425531914893614,0.37131938110198975,0.49619708994708994,0.39444444444444454
9,0.43478260869565216,0.36742424242424243,0.43749999999999994,0.39351851851851855
10,0.41304347826086957,0.3743514797223237,0.37806956115779644,0.4375
