fold,accuracy,f1_macro,precision,recall
1,0.9148936170212766,0.914488017429194,0.9180555555555556,0.9166666666666666
2,1.0,1.0,1.0,1.0
3,0.9787234042553191,0.9790849673202615,0.9814814814814815,0.9791666666666666
4,0.9361702127659575,0.9350678733031673,0.941919191919192,0.9338624338624338
5,0.8297872340425532,0.8186853351327036,0.8291666666666667,0.818452380952381
6,0.8936170212765957,0.8949268596327421,0.8968253968253969,0.8951719576719578
7,0.8936170212765957,0.8879031543505227,0.8921296296296296,0.886574074074074
8,0.8723404255319149,0.8622929873703867,0.8761784511784513,0.8606481481481483
9,0.9347826086956522,0.932594420829715,0.9428571428571427,0.9328703703703703
10,0.8478260869565217,0.8343567251461987,0.8527777777777777,0.8287037037037036
