fold,accuracy,f1_macro,precision,recall
1,0.3404255319148936,0.3232418050832373,0.3802910052910053,0.33796296296296297
2,0.425531914893617,0.4184877729769371,0.49793447293447285,0.45601851851851855
3,0.40425531914893614,0.3963729172062505,0.46957671957671954,0.38921957671957674
4,0.40425531914893614,0.4018759018759019,0.47985347985347987,0.4146825396825397
5,0.46808510638297873,0.47228835978835976,0.4773809523809524,0.47222222222222227
6,0.46808510638297873,0.4597712886715444,0.5069444444444444,0.4811507936507937
7,0.425531914893617,0.41917538945402727,0.47085877085877087,0.43716931216931215
8,0.425531914893617,0.38583877995642696,0.37222222222222223,0.4023148148148148
9,0.34782608695652173,0.3483719983719984,0.4083333333333334,0.3587962962962963
10,0.32608695652173914,0.33227124183006534,0.35946969696969694,0.3333333333333333
