fold,accuracy,f1_macro,precision,recall
1,0.2127659574468085,0.15389651665395374,0.13333333333333333,0.19675925925925927
2,0.2978723404255319,0.18736383442265794,0.154320987654321,0.2708333333333333
3,0.2978723404255319,0.18950657185951303,0.15692307692307694,0.27546296296296297
4,0.2553191489361702,0.16399572649572652,0.15793650793650793,0.22222222222222224
5,0.3829787234042553,0.2372727272727273,0.2352941176470588,0.3541666666666667
6,0.3191489361702128,0.22592592592592595,0.23941798941798945,0.29398148148148145
7,0.2978723404255319,0.21826974032856386,0.19775132275132276,0.27777777777777773
8,0.3404255319148936,0.22603485838779958,0.18472222222222223,0.30416666666666664
9,0.32608695652173914,0.2275219298245614,0.18774703557312253,0.30092592592592593
10,0.32608695652173914,0.24691820047857196,0.2505050505050505,0.29629629629629634
