fold,accuracy,f1_macro,precision,recall
1,0.7446808510638298,0.7050567595459235,0.7632575757575758,0.7129629629629631
2,0.723404255319149,0.7262332682224323,0.7283068783068783,0.7291666666666666
3,0.6382978723404256,0.6360060690943045,0.6664682539682539,0.6554232804232805
4,0.8297872340425532,0.8293916051268991,0.8634259259259259,0.8244047619047619
5,0.7446808510638298,0.7069088319088319,0.7323232323232324,0.728505291005291
6,0.6595744680851063,0.6616312179392675,0.6684523809523809,0.6587301587301587
7,0.723404255319149,0.6897746259588365,0.6941558441558442,0.6977513227513228
8,0.5957446808510638,0.5900030525030525,0.6274170274170274,0.5902777777777778
9,0.5217391304347826,0.5196840196840197,0.5346801346801346,0.5324074074074073
10,0.6521739130434783,0.6446311858076564,0.6716269841269842,0.6365740740740741
