fold,accuracy,f1_macro,precision,recall
1,0.2553191489361702,0.22122532514689378,0.34971509971509973,0.23842592592592593
2,0.2978723404255319,0.30239107870686815,0.3651811151811151,0.3009259259259259
3,0.3404255319148936,0.30908807967631496,0.31666666666666665,0.32242063492063494
4,0.19148936170212766,0.1759259259259259,0.26282051282051283,0.1765873015873016
5,0.1702127659574468,0.15769211725094076,0.16892736892736893,0.17625661375661375
6,0.2553191489361702,0.2175536881419234,0.25132275132275134,0.2738095238095238
7,0.48936170212765956,0.4846551868610692,0.49742063492063493,0.4794973544973545
8,0.2978723404255319,0.155949741315595,0.11732711732711733,0.27777777777777773
9,0.1956521739130435,0.11794019933554817,0.11036036036036036,0.22916666666666666
10,0.32608695652173914,0.2606351981351981,0.223109243697479,0.3333333333333333
