fold,accuracy,f1_macro,precision,recall
1,0.6808510638297872,0.6364870509607351,0.6970085470085471,0.6481481481481481
2,0.7021276595744681,0.7071909571909573,0.7305555555555556,0.7106481481481483
3,0.5957446808510638,0.5884294068504595,0.6134920634920635,0.6015211640211641
4,0.723404255319149,0.7203448512272042,0.732449494949495,0.7156084656084656
5,0.6595744680851063,0.6407637683953473,0.6537878787878788,0.6451719576719576
6,0.6808510638297872,0.6779609279609279,0.6901875901875902,0.6772486772486772
7,0.6595744680851063,0.6407531580906194,0.6959175084175083,0.6478174603174603
8,0.6808510638297872,0.6515651874785001,0.6655844155844156,0.6601851851851852
9,0.4782608695652174,0.473001508295626,0.4812409812409812,0.47453703703703703
10,0.6521739130434783,0.6173573975044563,0.6338471713471714,0.6203703703703703
