fold,accuracy,f1_macro,precision,recall
1,0.3191489361702128,0.2979514312847646,0.36097883597883595,0.3449074074074074
2,0.2978723404255319,0.2740752711340947,0.28928571428571426,0.34027777777777773
3,0.2553191489361702,0.22323232323232323,0.20585317460317457,0.267526455026455
4,0.19148936170212766,0.14761904761904762,0.1369047619047619,0.1851851851851852
5,0.3829787234042553,0.31662457912457914,0.3236111111111111,0.36177248677248675
6,0.3404255319148936,0.3086326928432192,0.324777183600713,0.34953703703703703
7,0.23404255319148937,0.21858076563958917,0.3318903318903319,0.24570105820105817
8,0.2553191489361702,0.22655338997168084,0.3584541062801932,0.2986111111111111
9,0.17391304347826086,0.15827193240986343,0.3050724637681159,0.19675925925925927
10,0.32608695652173914,0.2861344537815126,0.2708333333333333,0.3287037037037037
