fold,accuracy,f1_macro,precision,recall
1,0.5319148936170213,0.4935729847494554,0.4997964997964998,0.5069444444444443
2,0.5957446808510638,0.5942668442668443,0.6376984126984125,0.5925925925925926
3,0.5531914893617021,0.5443576890945311,0.5577441077441078,0.5691137566137566
4,0.6595744680851063,0.6574866310160429,0.6714646464646465,0.6547619047619048
5,0.5531914893617021,0.5421474810019702,0.5708994708994709,0.5403439153439152
6,0.5531914893617021,0.5488328664799252,0.5573112073112073,0.548611111111111
7,0.5531914893617021,0.5284752284752284,0.5547008547008547,0.5423280423280423
8,0.5531914893617021,0.5278195488721805,0.5370370370370371,0.5370370370370371
9,0.5217391304347826,0.505331845656923,0.5047619047619047,0.5115740740740741
10,0.5434782608695652,0.5288931227011722,0.5325396825396825,0.5347222222222222
