2025-05-04 21:09:20,912  trial=000  acc=0.2480  {'n_filters': 16, 'k_size': 7, 'dropout': 0.420991490877119, 'lr': 0.0003426367513766731, 'batch': 64}
2025-05-04 21:09:32,244  trial=001  acc=0.3974  {'n_filters': 16, 'k_size': 3, 'dropout': 0.24430955974729252, 'lr': 0.000485152446818895, 'batch': 64}
2025-05-04 21:09:39,533  trial=002  acc=0.4232  {'n_filters': 16, 'k_size': 3, 'dropout': 0.3873997030642227, 'lr': 0.0009800908517850777, 'batch': 32}
2025-05-04 21:09:43,026  trial=003  acc=0.1839  {'n_filters': 16, 'k_size': 5, 'dropout': 0.18837500769814347, 'lr': 0.005218708012650181, 'batch': 64}
2025-05-04 21:09:55,427  trial=004  acc=0.3869  {'n_filters': 32, 'k_size': 7, 'dropout': 0.1683679552695161, 'lr': 0.0002170455364102789, 'batch': 16}
2025-05-04 21:09:59,879  trial=005  acc=0.1902  {'n_filters': 32, 'k_size': 5, 'dropout': 0.3568582150341791, 'lr': 0.007185524247711997, 'batch': 32}
2025-05-04 21:10:06,592  trial=006  acc=0.2544  {'n_filters': 8, 'k_size': 7, 'dropout': 0.21491811052017018, 'lr': 0.0013349670291737026, 'batch': 32}
2025-05-04 21:10:10,803  trial=007  acc=0.3632  {'n_filters': 8, 'k_size': 3, 'dropout': 0.1772573034457275, 'lr': 0.001531493107786602, 'batch': 64}
2025-05-04 21:10:18,749  trial=008  acc=0.3719  {'n_filters': 8, 'k_size': 3, 'dropout': 0.1960695799936848, 'lr': 0.0009828654233701587, 'batch': 32}
2025-05-04 21:10:22,618  trial=009  acc=0.1817  {'n_filters': 32, 'k_size': 5, 'dropout': 0.40821593840455767, 'lr': 0.0025096446361316726, 'batch': 64}
2025-05-04 21:10:42,982  trial=010  acc=0.3376  {'n_filters': 16, 'k_size': 3, 'dropout': 0.4892670584208402, 'lr': 0.00010267636051486796, 'batch': 16}
2025-05-04 21:10:50,682  trial=011  acc=0.6194  {'n_filters': 16, 'k_size': 3, 'dropout': 0.017606360218412165, 'lr': 0.00040557998155132876, 'batch': 32}
2025-05-04 21:10:57,970  trial=012  acc=0.5877  {'n_filters': 16, 'k_size': 3, 'dropout': 0.014730693873402978, 'lr': 0.0005906778564915274, 'batch': 32}
2025-05-04 21:11:05,223  trial=013  acc=0.5901  {'n_filters': 16, 'k_size': 3, 'dropout': 0.00732351422667446, 'lr': 0.00048763163633125037, 'batch': 32}
2025-05-04 21:11:13,731  trial=014  acc=0.5492  {'n_filters': 16, 'k_size': 3, 'dropout': 0.01843165549971243, 'lr': 0.00020217830210883268, 'batch': 32}
2025-05-04 21:11:23,223  trial=015  acc=0.6006  {'n_filters': 16, 'k_size': 3, 'dropout': 0.09778780202829163, 'lr': 0.000250663273729789, 'batch': 32}
2025-05-04 21:11:32,085  trial=016  acc=0.4831  {'n_filters': 16, 'k_size': 3, 'dropout': 0.10321431891804578, 'lr': 0.00010512552542916278, 'batch': 32}
2025-05-04 21:11:49,886  trial=017  acc=0.6217  {'n_filters': 16, 'k_size': 3, 'dropout': 0.09229950891335068, 'lr': 0.00024175168313863145, 'batch': 16}
2025-05-04 21:12:11,093  trial=018  acc=0.4956  {'n_filters': 8, 'k_size': 5, 'dropout': 0.09352651606365203, 'lr': 0.00017128681137340207, 'batch': 16}
2025-05-04 21:12:22,496  trial=019  acc=0.2373  {'n_filters': 32, 'k_size': 7, 'dropout': 0.05584030849447741, 'lr': 0.0007004089899453634, 'batch': 16}
2025-05-04 21:12:36,802  trial=020  acc=0.3760  {'n_filters': 16, 'k_size': 3, 'dropout': 0.3285862400354512, 'lr': 0.00032823061602946517, 'batch': 16}
2025-05-04 21:12:54,493  trial=021  acc=0.4484  {'n_filters': 16, 'k_size': 3, 'dropout': 0.11807466414951386, 'lr': 0.00031279375781497805, 'batch': 16}
2025-05-04 21:13:03,737  trial=022  acc=0.5750  {'n_filters': 16, 'k_size': 3, 'dropout': 0.06964495376988994, 'lr': 0.00016414884350147678, 'batch': 32}
2025-05-04 21:13:13,620  trial=023  acc=0.5302  {'n_filters': 16, 'k_size': 3, 'dropout': 0.1387561349763827, 'lr': 0.0002849608891876308, 'batch': 32}
2025-05-04 21:13:28,098  trial=024  acc=0.4983  {'n_filters': 16, 'k_size': 3, 'dropout': 0.052552952510059814, 'lr': 0.00043865176068741554, 'batch': 16}
2025-05-04 21:13:38,614  trial=025  acc=0.5257  {'n_filters': 16, 'k_size': 3, 'dropout': 0.26347707987763225, 'lr': 0.00013552591076885319, 'batch': 32}
2025-05-04 21:13:55,745  trial=026  acc=0.5322  {'n_filters': 16, 'k_size': 3, 'dropout': 0.14661964593023552, 'lr': 0.0002655335403007214, 'batch': 16}
2025-05-04 21:14:04,335  trial=027  acc=0.6025  {'n_filters': 16, 'k_size': 3, 'dropout': 0.07162012452637445, 'lr': 0.0007715765969069647, 'batch': 32}
