2025-05-04 17:24:16,997  trial=000  score=0.9252  params={'n_estimators': 300, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:24:18,568  trial=001  score=0.9338  params={'n_estimators': 400, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:19,921  trial=002  score=0.9295  params={'n_estimators': 600, 'max_depth': 30, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:24:20,768  trial=003  score=0.9359  params={'n_estimators': 400, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:22,656  trial=004  score=0.9381  params={'n_estimators': 900, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:24,598  trial=005  score=0.9359  params={'n_estimators': 900, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:26,228  trial=006  score=0.9295  params={'n_estimators': 700, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:24:27,992  trial=007  score=0.9187  params={'n_estimators': 1000, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:29,069  trial=008  score=0.9317  params={'n_estimators': 500, 'max_depth': 35, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:31,002  trial=009  score=0.9359  params={'n_estimators': 900, 'max_depth': 35, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:31,253  trial=010  score=0.9230  params={'n_estimators': 100, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:24:33,009  trial=011  score=0.9338  params={'n_estimators': 800, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:35,290  trial=012  score=0.9359  params={'n_estimators': 1000, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:37,056  trial=013  score=0.9338  params={'n_estimators': 800, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:38,772  trial=014  score=0.9359  params={'n_estimators': 800, 'max_depth': 25, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:40,149  trial=015  score=0.6836  params={'n_estimators': 1000, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:41,714  trial=016  score=0.9316  params={'n_estimators': 700, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:24:43,583  trial=017  score=0.9381  params={'n_estimators': 900, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:45,151  trial=018  score=0.9295  params={'n_estimators': 700, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:24:47,024  trial=019  score=0.9381  params={'n_estimators': 900, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:48,264  trial=020  score=0.9381  params={'n_estimators': 600, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:50,156  trial=021  score=0.9381  params={'n_estimators': 900, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:52,083  trial=022  score=0.9381  params={'n_estimators': 900, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:53,776  trial=023  score=0.9359  params={'n_estimators': 800, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:55,411  trial=024  score=0.6665  params={'n_estimators': 1000, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:57,644  trial=025  score=0.9381  params={'n_estimators': 900, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:24:59,148  trial=026  score=0.9081  params={'n_estimators': 700, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:24:59,401  trial=027  score=0.9295  params={'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:01,255  trial=028  score=0.9359  params={'n_estimators': 800, 'max_depth': 25, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:01,752  trial=029  score=0.9295  params={'n_estimators': 200, 'max_depth': 50, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:03,056  trial=030  score=0.9360  params={'n_estimators': 600, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:03,911  trial=031  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:04,566  trial=032  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:05,497  trial=033  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:06,371  trial=034  score=0.9338  params={'n_estimators': 400, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:07,458  trial=035  score=0.9381  params={'n_estimators': 500, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:08,185  trial=036  score=0.9231  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:09,019  trial=037  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:09,884  trial=038  score=0.9359  params={'n_estimators': 400, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:10,949  trial=039  score=0.9381  params={'n_estimators': 500, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:11,392  trial=040  score=0.9038  params={'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:12,222  trial=041  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:13,105  trial=042  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:13,978  trial=043  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:14,600  trial=044  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:15,713  trial=045  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:16,628  trial=046  score=0.9338  params={'n_estimators': 400, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:17,081  trial=047  score=0.9381  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:17,737  trial=048  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:18,663  trial=049  score=0.9359  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:19,366  trial=050  score=0.9338  params={'n_estimators': 300, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}
