2025-05-04 22:12:52,658  trial=000  acc=0.4471  {'layer_sizes': (128, 64), 'lr_init': 0.00015141345336524986, 'alpha': 0.000542592990413688, 'batch': 32}
2025-05-04 22:12:53,604  trial=001  acc=0.4022  {'layer_sizes': (128, 128), 'lr_init': 0.004018863997630096, 'alpha': 0.005018728434983496, 'batch': 64}
2025-05-04 22:12:54,127  trial=002  acc=0.3013  {'layer_sizes': (128, 128), 'lr_init': 0.00011456648358988343, 'alpha': 1.298364630387636e-05, 'batch': 64}
2025-05-04 22:12:54,304  trial=003  acc=0.4017  {'layer_sizes': (128,), 'lr_init': 0.011819832508523066, 'alpha': 5.675657626587918e-06, 'batch': 32}
2025-05-04 22:12:54,586  trial=004  acc=0.2949  {'layer_sizes': (128, 64), 'lr_init': 0.0004821989389411524, 'alpha': 0.0005008253373406834, 'batch': 128}
2025-05-04 22:12:54,776  trial=005  acc=0.4020  {'layer_sizes': (64,), 'lr_init': 0.00887058117501808, 'alpha': 3.2132456061799955e-05, 'batch': 32}
2025-05-04 22:12:55,060  trial=006  acc=0.2716  {'layer_sizes': (128, 128), 'lr_init': 0.00016788676745954764, 'alpha': 0.0007523656312475535, 'batch': 128}
2025-05-04 22:12:55,340  trial=007  acc=0.4121  {'layer_sizes': (128, 64), 'lr_init': 0.0027359913199685804, 'alpha': 0.00036575894996664933, 'batch': 128}
2025-05-04 22:12:55,523  trial=008  acc=0.3572  {'layer_sizes': (64, 64), 'lr_init': 0.0020299143696506958, 'alpha': 9.038299590075447e-05, 'batch': 128}
2025-05-04 22:12:55,656  trial=009  acc=0.2244  {'layer_sizes': (64, 64), 'lr_init': 0.016526806177249637, 'alpha': 0.00098869200717504, 'batch': 32}
2025-05-04 22:12:56,057  trial=010  acc=0.4167  {'layer_sizes': (128, 64), 'lr_init': 0.000664492201305881, 'alpha': 1.0661131867489766e-06, 'batch': 32}
2025-05-04 22:12:56,441  trial=011  acc=0.4255  {'layer_sizes': (128, 64), 'lr_init': 0.00046505087832130897, 'alpha': 1.5000074337583581e-06, 'batch': 32}
2025-05-04 22:12:56,854  trial=012  acc=0.3932  {'layer_sizes': (128, 64), 'lr_init': 0.0004900022785991902, 'alpha': 1.1801313476993774e-06, 'batch': 32}
2025-05-04 22:12:57,307  trial=013  acc=0.4190  {'layer_sizes': (128, 64), 'lr_init': 0.00025380479739002407, 'alpha': 0.00500233474135607, 'batch': 32}
2025-05-04 22:12:57,540  trial=014  acc=0.4362  {'layer_sizes': (64,), 'lr_init': 0.001023430975307356, 'alpha': 0.00012701090115553005, 'batch': 32}
2025-05-04 22:12:57,826  trial=015  acc=0.4210  {'layer_sizes': (64,), 'lr_init': 0.0009892676897234787, 'alpha': 0.00013846426098796874, 'batch': 32}
2025-05-04 22:12:57,905  trial=016  acc=0.2053  {'layer_sizes': (64,), 'lr_init': 0.028706267949345842, 'alpha': 0.00011114074371194149, 'batch': 64}
2025-05-04 22:12:58,088  trial=017  acc=0.4125  {'layer_sizes': (128,), 'lr_init': 0.001170707135595166, 'alpha': 0.0015489918147457617, 'batch': 32}
2025-05-04 22:12:58,289  trial=018  acc=0.2031  {'layer_sizes': (64,), 'lr_init': 0.00022844151264210356, 'alpha': 3.502849750349031e-05, 'batch': 32}
2025-05-04 22:12:58,418  trial=019  acc=0.3932  {'layer_sizes': (64,), 'lr_init': 0.005043256984317011, 'alpha': 0.0002487049899025279, 'batch': 64}
2025-05-04 22:12:58,599  trial=020  acc=0.3528  {'layer_sizes': (128,), 'lr_init': 0.00011904204960696456, 'alpha': 0.002474128389752255, 'batch': 32}
2025-05-04 22:12:59,083  trial=021  acc=0.3848  {'layer_sizes': (128, 64), 'lr_init': 0.000264443645646871, 'alpha': 7.857816894653643e-06, 'batch': 32}
2025-05-04 22:12:59,487  trial=022  acc=0.4080  {'layer_sizes': (128, 64), 'lr_init': 0.0005020606616300242, 'alpha': 2.8803999560670903e-06, 'batch': 32}
2025-05-04 22:13:00,035  trial=023  acc=0.4233  {'layer_sizes': (128, 64), 'lr_init': 0.0003219824135548426, 'alpha': 3.4001908427988244e-05, 'batch': 32}
2025-05-04 22:13:00,411  trial=024  acc=0.4938  {'layer_sizes': (64, 64), 'lr_init': 0.0009726964829763901, 'alpha': 0.00020868170738977103, 'batch': 32}
2025-05-04 22:13:00,782  trial=025  acc=0.5045  {'layer_sizes': (64, 64), 'lr_init': 0.0009599724512398106, 'alpha': 0.00022006261953749225, 'batch': 32}
2025-05-04 22:13:01,077  trial=026  acc=0.4421  {'layer_sizes': (64, 64), 'lr_init': 0.0016346739249175491, 'alpha': 0.00025637045958098553, 'batch': 32}
2025-05-04 22:13:01,489  trial=027  acc=0.4745  {'layer_sizes': (64, 64), 'lr_init': 0.0007401741114813489, 'alpha': 5.7109713055593146e-05, 'batch': 32}
2025-05-04 22:13:01,693  trial=028  acc=0.3549  {'layer_sizes': (64, 64), 'lr_init': 0.001446926932948052, 'alpha': 5.936143837359214e-05, 'batch': 64}
2025-05-04 22:13:01,772  trial=029  acc=0.2223  {'layer_sizes': (64, 64), 'lr_init': 0.0007969655126293601, 'alpha': 2.3083006043705073e-05, 'batch': 128}
2025-05-04 22:13:02,162  trial=030  acc=0.4871  {'layer_sizes': (64, 64), 'lr_init': 0.0024055007802488474, 'alpha': 6.048338370296715e-05, 'batch': 32}
2025-05-04 22:13:02,575  trial=031  acc=0.4809  {'layer_sizes': (64, 64), 'lr_init': 0.002632963384144872, 'alpha': 5.9459138324702835e-05, 'batch': 32}
2025-05-04 22:13:02,872  trial=032  acc=0.4723  {'layer_sizes': (64, 64), 'lr_init': 0.003377418189175116, 'alpha': 0.00024605137881622313, 'batch': 32}
2025-05-04 22:13:03,231  trial=033  acc=0.4593  {'layer_sizes': (64, 64), 'lr_init': 0.0022592644211531267, 'alpha': 1.1960651940034688e-05, 'batch': 32}
2025-05-04 22:13:03,541  trial=034  acc=0.5278  {'layer_sizes': (64, 64), 'lr_init': 0.005481425004155032, 'alpha': 5.770799733337068e-05, 'batch': 32}
2025-05-04 22:13:03,745  trial=035  acc=0.4398  {'layer_sizes': (64, 64), 'lr_init': 0.005532973924965805, 'alpha': 1.9048405843738595e-05, 'batch': 64}
2025-05-04 22:13:04,076  trial=036  acc=0.3974  {'layer_sizes': (64, 64), 'lr_init': 0.00795616679169026, 'alpha': 0.00017832679853256586, 'batch': 32}
2025-05-04 22:13:04,524  trial=037  acc=0.4102  {'layer_sizes': (128, 128), 'lr_init': 0.003722049091513661, 'alpha': 0.0003768604369639878, 'batch': 32}
2025-05-04 22:13:04,685  trial=038  acc=0.3508  {'layer_sizes': (64, 64), 'lr_init': 0.005251109047053137, 'alpha': 0.0005653122291015066, 'batch': 128}
2025-05-04 22:13:05,077  trial=039  acc=0.4639  {'layer_sizes': (64, 64), 'lr_init': 0.0014246974955911314, 'alpha': 7.911640005309286e-05, 'batch': 32}
