2025-05-04 17:01:13,975  trial=000  score=0.9081  params={'n_estimators': 700, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:01:15,884  trial=001  score=0.9081  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:01:18,791  trial=002  score=0.9145  params={'n_estimators': 600, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:01:21,402  trial=003  score=0.9123  params={'n_estimators': 700, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:01:23,572  trial=004  score=0.9124  params={'n_estimators': 500, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:25,417  trial=005  score=0.9081  params={'n_estimators': 500, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:01:28,706  trial=006  score=0.9081  params={'n_estimators': 700, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:01:31,087  trial=007  score=0.9060  params={'n_estimators': 500, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:01:33,413  trial=008  score=0.9102  params={'n_estimators': 600, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:01:34,618  trial=009  score=0.9017  params={'n_estimators': 300, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:01:38,447  trial=010  score=0.9145  params={'n_estimators': 900, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:42,368  trial=011  score=0.9123  params={'n_estimators': 900, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:46,339  trial=012  score=0.9102  params={'n_estimators': 900, 'max_depth': 10, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:49,208  trial=013  score=0.7118  params={'n_estimators': 800, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:50,575  trial=014  score=0.9124  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:54,190  trial=015  score=0.9060  params={'n_estimators': 800, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:56,008  trial=016  score=0.9038  params={'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:01:59,120  trial=017  score=0.9082  params={'n_estimators': 600, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:02,359  trial=018  score=0.9081  params={'n_estimators': 800, 'max_depth': 30, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:02:07,024  trial=019  score=0.9102  params={'n_estimators': 900, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:09,011  trial=020  score=0.9103  params={'n_estimators': 400, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:09,968  trial=021  score=0.9060  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:11,366  trial=022  score=0.9039  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:13,143  trial=023  score=0.9123  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:14,291  trial=024  score=0.7117  params={'n_estimators': 300, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:17,015  trial=025  score=0.9102  params={'n_estimators': 600, 'max_depth': 35, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:19,568  trial=026  score=0.9017  params={'n_estimators': 700, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:02:21,346  trial=027  score=0.9081  params={'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:02:22,365  trial=028  score=0.9146  params={'n_estimators': 200, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:26,447  trial=029  score=0.9145  params={'n_estimators': 800, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:29,993  trial=030  score=0.9102  params={'n_estimators': 700, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:33,978  trial=031  score=0.9103  params={'n_estimators': 800, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:38,582  trial=032  score=0.9102  params={'n_estimators': 900, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:42,525  trial=033  score=0.9081  params={'n_estimators': 800, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:43,557  trial=034  score=0.9103  params={'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:46,626  trial=035  score=0.9103  params={'n_estimators': 600, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:49,382  trial=036  score=0.9059  params={'n_estimators': 700, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:02:51,881  trial=037  score=0.9123  params={'n_estimators': 500, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:56,325  trial=038  score=0.9124  params={'n_estimators': 900, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:02:59,551  trial=039  score=0.9102  params={'n_estimators': 800, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:03:03,053  trial=040  score=0.9124  params={'n_estimators': 700, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:04,125  trial=041  score=0.9038  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:05,562  trial=042  score=0.9102  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:06,956  trial=043  score=0.9060  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:08,568  trial=044  score=0.9060  params={'n_estimators': 300, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:11,287  trial=045  score=0.9059  params={'n_estimators': 500, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:15,545  trial=046  score=0.9081  params={'n_estimators': 900, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:18,014  trial=047  score=0.8995  params={'n_estimators': 600, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:03:19,005  trial=048  score=0.9103  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:20,802  trial=049  score=0.9124  params={'n_estimators': 300, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:22,680  trial=050  score=0.7139  params={'n_estimators': 500, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:24,333  trial=051  score=0.9038  params={'n_estimators': 300, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:26,472  trial=052  score=0.9145  params={'n_estimators': 400, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:28,706  trial=053  score=0.9081  params={'n_estimators': 400, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:30,873  trial=054  score=0.9167  params={'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:33,648  trial=055  score=0.9124  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:35,769  trial=056  score=0.9081  params={'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
