2025-05-04 17:21:26,069  trial=000  score=0.4061  params={'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.020020823738145108, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'gamma': 2.3002570291147744, 'reg_lambda': 2.6197425575110893, 'reg_alpha': 4.651905582379243}
2025-05-04 17:21:27,608  trial=001  score=0.4723  params={'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.016154433559655602, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.9, 'gamma': 3.704630511233074, 'reg_lambda': 1.1289821719502702, 'reg_alpha': 0.9810344013737565}
2025-05-04 17:21:28,444  trial=002  score=0.4103  params={'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.23224498109059022, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'gamma': 3.352532132086639, 'reg_lambda': 2.126314633166534, 'reg_alpha': 4.120277358425662}
2025-05-04 17:21:28,613  trial=003  score=0.4593  params={'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.017590027663559223, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'gamma': 2.668600799967252, 'reg_lambda': 4.501762911059798, 'reg_alpha': 2.016081794928255}
2025-05-04 17:21:28,770  trial=004  score=0.3590  params={'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.037032718652302676, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'gamma': 4.3302927239799, 'reg_lambda': 3.817884093423859, 'reg_alpha': 4.998793933899674}
2025-05-04 17:21:29,236  trial=005  score=0.4274  params={'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.16441030125342573, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 4.147152499516657, 'reg_lambda': 0.3388636804419509, 'reg_alpha': 3.597580728079329}
2025-05-04 17:21:30,003  trial=006  score=0.5789  params={'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.019127792544420957, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.46511994003311685, 'reg_lambda': 1.7517916371559776, 'reg_alpha': 2.6469761812857975}
2025-05-04 17:21:30,442  trial=007  score=0.4788  params={'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.010760632224014919, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'gamma': 3.2068361101875764, 'reg_lambda': 3.2261000219485663, 'reg_alpha': 1.904184303685787}
2025-05-04 17:21:31,038  trial=008  score=0.4678  params={'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.13235436108986143, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'gamma': 3.087113399396892, 'reg_lambda': 1.9741531472765934, 'reg_alpha': 2.2055506162841625}
2025-05-04 17:21:31,552  trial=009  score=0.4231  params={'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.06970483656880241, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'gamma': 3.4909719118897184, 'reg_lambda': 3.95607309277578, 'reg_alpha': 2.7961171935281106}
2025-05-04 17:21:32,768  trial=010  score=0.8741  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.0414035589160434, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.2241132734156182, 'reg_lambda': 0.04884929558203366, 'reg_alpha': 0.11727151857553597}
